Date,TRY,Yr,DoM,MoY,sin_DoY,cos_DoY,Ave Monthly USD FX Rate,@OBS_STATUS_x,Inflation (CPI) %,@OBS_STATUS_y,Deposit Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Foreign Exchange Reserves(%),M2 Multiplier Growth (%),M2/Reserves,Domestic Credit to GDP,Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Total Debt(USD),Short Term Debt(USD),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,TRY_30_ave,TRY_60_ave,TRY_90_ave,TRY_90d_change,TRY_classifier
2005-10-05,1.3535,2005,5,10,-0.9984354211555643,0.05591699010060302,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3449366666666664,1.3411699999999998,1.34575,-0.01810121906169193,Small Appreciation
2005-10-06,1.3555,2005,6,10,-0.9973249731081555,0.07309512989807776,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3444366666666665,1.3415366666666668,1.3457722222222221,-0.019845075617853092,Small Appreciation
2005-10-07,1.348,2005,7,10,-0.9959189961471792,0.0902516100310407,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3438366666666666,1.341845,1.345788888888889,-0.012240356083086157,Small Appreciation
2005-10-10,1.349,2005,10,10,-0.989932495087353,0.141540295217043,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3435433333333333,1.34212,1.345641111111111,-0.014381022979985225,Small Appreciation
2005-10-11,1.3478,2005,11,10,-0.9873494423939864,0.15855938510313475,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3432199999999999,1.3423833333333335,1.3454555555555554,-0.018771331058020535,Small Appreciation
2005-10-12,1.3565,2005,12,10,-0.9844738167520923,0.17553149042142777,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3436866666666665,1.3427499999999999,1.3453166666666665,-0.02801326944342064,Small Appreciation
2005-10-13,1.3708,2005,13,10,-0.9813064702716093,0.19245158197082995,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.34463,1.3433383333333333,1.3454366666666666,-0.03851765392471551,Small Appreciation
2005-10-14,1.3675,2005,14,10,-0.9778483415056567,0.20931464596304888,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.34568,1.34403,1.345458888888889,-0.029981718464350937,Small Appreciation
2005-10-17,1.3555,2005,17,10,-0.965739937654855,0.25951179706979943,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3464133333333335,1.3443049999999999,1.3453477777777778,-0.026927333087421568,Small Appreciation
2005-10-18,1.3645,2005,18,10,-0.9611297838723007,0.27609697309746883,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3474966666666668,1.3447383333333334,1.345208888888889,-0.031953096372297596,Small Appreciation
2005-10-19,1.3695,2005,19,10,-0.9562348265919058,0.2926003356333479,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3486433333333332,1.34513,1.3450644444444444,-0.03906535231836428,Small Appreciation
2005-10-20,1.3638,2005,20,10,-0.9510565162951536,0.30901699437494723,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.34958,1.3455016666666668,1.3449455555555556,-0.036882240797770915,Small Appreciation
2005-10-21,1.36,2005,21,10,-0.9455963874271428,0.3253420847119795,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3503633333333334,1.3459600000000003,1.3448511111111112,-0.038235294117647145,Small Appreciation
2005-10-24,1.36,2005,24,10,-0.9275416835791965,0.3737197147904692,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3511966666666666,1.346535,1.344901111111111,-0.041911764705882426,Small Appreciation
2005-10-25,1.3555,2005,25,10,-0.9209712877166347,0.38963044953078774,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3516966666666668,1.3471183333333334,1.3448233333333333,-0.03467355219476198,Small Appreciation
2005-10-26,1.355,2005,26,10,-0.9141279881853337,0.4054257283599973,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3521466666666666,1.347635,1.3447844444444443,-0.03136531365313655,Small Appreciation
