Date,INR,sin_DoY,Inflation (CPI) %,Ave Monthly USD FX Rate,Lending Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Domestic Credit to GDP,Trade Openness,FDI(%GDP),Current Account(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,INR_30_ave,INR_60_ave,INR_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,INR_classifier
1981-03-24,8.26,0.9873494423939864,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.237666666666666,8.1125,8.033888888888889,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-25,8.27,0.989932495087353,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.241333333333333,8.118500000000001,8.039666666666667,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-26,8.26,0.9922222094179324,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.244666666666667,8.123833333333334,8.045444444444446,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-27,8.31,0.994217906893952,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.249,8.13,8.052111111111111,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-30,8.31,0.9984354211555644,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.252333333333333,8.136166666666666,8.057777777777778,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-31,8.27,0.9992500112396836,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.253333333333334,8.1425,8.062999999999999,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-04-01,8.27,0.9997685019798908,10.6728147797252,8.25082515058437,16.5,797132393.4230001,1212969589.992,193490610032.1,5.827185220274799,2.850267513800832,0.3806292132088701,0.0103886280738973,0.0,-0.2477904895070206,38441270710.3635,9.62616589253244,3.845566441266723,8.254999999999999,8.150166666666667,8.068222222222222,0,0,0,1,0,0,0,0,0,0,0,0,Medium Crash Confidence
1981-04-02,8.27,0.99999073973619,10.6728147797252,8.25082515058437,16.5,797132393.4230001,1212969589.992,193490610032.1,5.827185220274799,2.850267513800832,0.3806292132088701,0.0103886280738973,0.0,-0.2477904895070206,38441270710.3635,9.62616589253244,3.845566441266723,8.256666666666666,8.1565,8.073444444444444,0,0,0,1,0,0,0,0,0,0,0,0,Medium Crash Confidence
1981-04-03,8.31,0.999916658654738,10.6728147797252,8.25082515058437,16.5,797132393.4230001,1212969589.992,193490610032.1,5.827185220274799,2.850267513800832,0.3806292132088701,0.0103886280738973,0.0,-0.2477904895070206,38441270710.3635,9.62616589253244,3.845566441266723,8.259333333333334,8.164,8.07911111111111,0,0,0,1,0,0,0,0,0,0,0,0,Medium Crash Confidence
1981-04-06,8.35,0.9979171608653922,10.6728147797252,8.25082515058437,16.5,797132393.4230001,1212969589.992,193490610032.1,5.827185220274799,2.850267513800832,0.3806292132088701,0.0103886280738973,0.0,-0.2477904895070206,38441270710.3635,9.62616589253244,3.845566441266723,8.261333333333333,8.170666666666667,8.084666666666667,0,0,0,1,0,0,0,0,0,0,0,0,Medium Crash Confidence
